Issue id,Duplicate id
13356117,13357630
13291509,13318258
13376084,13372113
13543607,13542716
13519654,13486196
13448212,13502519
13462978,13442561
13559309,13559316
13548885,13555403
13540519,13540520
13558084,13558085
13474953,13594828
13500783,13363065
13559315,13559305
13560037,13560036
13318258,13291509
13526397,13530862
13540286,13440806
13341325,13340432
13533829,13304268
13296505,13295854
13559292,13560089
13403169,13401921
13542716,13543607
13535770,13529977
13446349,13445870
13424735,13423214
13326196,13503078
13555403,13548885
13345383,13345358
13559311,13559315
13374158,13374159
13558085,13558084
13517087,13525355
13507491,13528851
13295063,13312393
13477046,13481922
13406429,13409181
13323952,13329045
13552186,13551869
13473761,13301584
13385017,13316576
13571270,13566762
13442561,13445683
13387081,13396968
13520553,13494151
13439472,13379350
13423214,13424735
13447158,13561923
13304383,13341720
13427513,13560194
13408962,13409180
13481922,13477046
13372986,13301757
13303191,13294487
13547008,13554992
13305336,13285859
13371988,13369922
13318333,13309944
13472721,13474688
13369802,13425233
13560186,13561394
13362680,13362678
13547359,13547360
13551071,13549038
13559307,13559312
13301584,13473761
13317107,13306716
13424989,13443480
13400202,13399871
13362678,13362677
13434557,13434516
13312393,13295063
13409180,13408962
13555636,13556437
13565618,13562714
13346186,13346169
13351881,"13339179, 13362722"
13415643,13411882
13304268,13533829
13426231,13440231
13356003,13367318
13279942,13277984
13337721,13358044
13561923,13447158
13409182,13405990
13559312,13559307
13408095,13432819
13352724,13346430
13528108,13534793
13562714,13565618
13530861,13379304
13425233,13369802
13362689,13362685
13525355,13517087
13577258,13577266
13556437,13555636
13443473,13396349
13401693,13418034
13554992,13547008
13309944,13318333
13369922,13371988
13363065,13500783
13598479,13598480
13487155,13495180
13524256,13528502
13409179,13408974
13599387,13517685
13301899,13302642
13530004,13530499
13346169,13346186
13363125,13363121
13340432,13341325
13549038,13551071
13584786,13443216
13562334,13559321
13443485,13420472
13341720,13304383
13443480,13424989
13367318,13356003
13551869,13552186
13396088,13426517
13290860,13290857
13594828,13474953
13319209,13319210
13560202,13538565
13549253,13549157
13566762,13571270
